time,beta->alpha,alpha->venus,alpha->alpha,alpha->IAA,beta->IAA,IAA->GFP,IAA->IAA,IAA->alpha
0,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001
4,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001
8,0.0000001,0.0000001,0.0001,0.0000001,0.0000001,0.0000001,0.0000001,0.000001
12,0.000001,0.001,0.001,0.0001,0.001,0.0001,0.000001,0.000001
16,0.0001,0.001,0.1,0.01,0.01,0.001,0.0001,0.00001
20,0.1,0.1,10,1,10,0.001,0.001,0.00001
24,10,10,10,10,10,1,0.1,0.001
28,10,10,10,10,10,1,0.1,0.01
40,10,10,10,10,10,10,10,1
44,10,10,10,10,10,10,10,10
